author,length,likes,source,tags,title
    Marilyn Monroe  ,84,299,humor,"humor,relationships",      “Husbands are chiefly good as lovers when they are betraying their wives.”  
    Ellen Goodman  ,283,297,humor,"humor,life,materialism,society,truth","      “Normal is getting dressed in clothes that you buy for work and driving through traffic in a car that you are still paying for - in order to get to the job you need to pay for the clothes and the car, and the house you leave vacant all day so you can afford to live in it.”  "
    John Irving  ,199,291,humor,humor,"      “In this dirty minded world, you are either someone's wife or someone's whore. And if you're not either people think there is something wrong with you....but there is nothing wrong with me”  "
    Scott Adams  ,108,291,humor,"humor,philosophy",      “Dance like it hurts. Love like you need money. Work when people are watching. -- Dogbert's Motto”  
    Mike Royko  ,179,289,humor,"cynicism,humor","      “Show me somebody who is always smiling, always cheerful, always optimistic, and I will show you somebody who hasn't the faintest idea what the heck is really going on.”  "
    Jeaniene Frost  ,37,282,humor,"humor,vampire",      “Playing with fire Kitten?”  
    George S. Patton Jr.  ,147,278,humor,humor,      “No dumb bastard ever won a war by going out and dying for his country. He won it by making some other dumb bastard die for his country.”  
    Diana Wynne Jones  ,78,277,humor,"fantasy,fiction,humor,young-adult","      “I feel ill,"" [Howl] announced. ""I'm going to bed, where I may die.”  "
    Rachel Caine  ,206,276,humor,"humor,paranormal,romance","      “The door banged open, and Eve rushed out, flushed and mussed and still buttoning her shirt. 'It's not what you think,' she said. 'It was just—oh, okay, whatever, it was exactly what you think. Now, "
    Tsugumi Ohba  ,28,275,humor,"humor,manga,note,secret","      “Kira: L, do you know"
    Roald Dahl  ,41,274,humor,humor,      “If you are good life is good.”  
    Brandon Sanderson  ,64,274,humor,humor,"      “You're a very difficult person to manipulate, you know."
    Kami Garcia  ,35,273,humor,"ethan-wate,humor",      “Well? Is it true? Did she?
    Tahereh Mafi  ,354,270,humor,"humor,ignite-me,kenji","      “Kenji has a hand pressed to his mouth, desperately trying to suppress a smile. He’s shaking his head, holding up a hand in apology. And then he breaks, laughing out loud, snorting as he tries to muffle the sound. “I’m sorry,” he says, pressing his lips together, shaking his head again. “This is not a funny moment. It’s not. I’m not laughing”  "
    Ambrose Bierce  ,90,266,humor,"delusion,humor,lunatics,philosopher","      “All are lunatics, but he who can analyze his delusion is called a philosopher.”  "
    Bill Hicks  ,505,265,humor,"america,humor,politics,society","      “Go back to bed, America. Your government has figured out how it all transpired. Go back to bed, America. Your government is in control again. Here. Here's American Gladiators. Watch this, shut up. Go back to bed, America. Here is American Gladiators. Here is 56 channels of it! Watch these pituitary retards bang their fucking skulls together and congratulate you on living in the land of freedom. Here you go, America! You are free to do what we tell you! You are free to do what we tell you!”  "
    Dark Jar Tin Zoo  ,86,133,humor,"focus,funny,humor,intense,intensity,love,make-love,men,not-romantic,relationships,reserve,romance,romantic,sex,sleep,sleeping,women,word-junkies",      “I make love with a focus and intensity that most people reserve for sleep.”  
    George Eliot  ,326,458,inspirational,"inspirational,life,thoughtful","      “But the effect of her being on those around her was incalculably diffusive: for the growing good of the world is partly dependent on unhistoric acts; and that things are not so ill with you and me as they might have been, is half owing to the number who lived faithfully a hidden life, and rest in unvisited tombs.”  "
    Paulo Coelho  ,56,431,inspirational,inspirational,"      “If I must fall, may it be from a high place.”  "
    Brandon Sanderson  ,159,429,inspirational,"balance,finding-yourself,inspirational,need,satisfaction,truth,want,who-we-are","      “Somehow, we'll find it. The balance between whom we wish to be and whom we need to be. But for now, we simply have to be satisfied with who we are.”  "
    Paulo Coelho  ,256,429,inspirational,"finding-love,inspirational,moving-forward","      “My heart might be bruised, but it will recover and become capable of seeing beauty of life once more. It's happened before, it will happen again, I'm sure. When someone leaves, it's because someone else is about to arrive--I'll find love again.”  "
    Chad Sugg  ,99,421,inspirational,"autumn,encourage,fall,inspirational,life,love,nature,trees","      “Love the trees until their leaves fall off, then encourage them to try again next year.”  "
    Barbara Johnson  ,51,420,inspirational,"inspirational,parenting","      “To be in your children's memories tomorrow,"
    Merce Cunningham  ,256,402,inspirational,"ballet,dance,inspirational,merce-cunningham","      “You have to love dancing to stick to it. It gives you nothing back, no manuscripts to store away, no paintings to show on walls and maybe hang in museums, no poems to be printed and sold, nothing but that single fleeting moment when you feel alive."
    Paulo Coelho  ,63,385,inspirational,"inspirational,remembrance",      “It takes a huge effort to free yourself from memory”  
    Steve Maraboli  ,81,370,inspirational,"inspirational,letting-go,life,motivational,simplicity",      “The greatest step towards a life of simplicity is to learn to let go.”  
    Jeanne Birdsall  ,100,370,inspirational,"inspirational,lies,lying,truth",      “...even a tiny bit of deceit is dishonorable when it's used for selfish or cowardly reasons.
    Antoine de Saint-Exupéry  ,66,364,inspirational,inspirational,      “What saves a man is to take a step. Then another step.”  
    Henry Miller  ,145,359,inspirational,"inspirational,life","      “Everyone has his own reality in which, if one is not too cautious, timid or frightened, one swims. This is the only reality there is.”  "
    Steve Maraboli  ,178,347,inspirational,"action,appreciation,depression,gratitude,inspirational,life,motivational,success","      “Those with a grateful mindset tend to see the message in the mess. And even though life may knock them down, the grateful find reasons, if even small ones, to get up.”  "
    Ursula K. LeGuin  ,279,342,inspirational,inspirational,"      “Freedom is a heavy load, a great and strange burden for the spirit to undertake. It is not easy. It is not a gift given, but a choice made, and the choice may be a hard one. The road goes upward towards the light; but the laden traveler may never reach the end of it.”  "
    Ayaan Hirsi Ali  ,50,336,inspirational,"cowardice,inspirational,intolerance,tolerance",      “Tolerance of intolerance is cowardice.”  
    Daisaku Ikeda  ,216,328,inspirational,"buddhism,destiny,happiness,humanism,inspirational,karma,peace,self-reformation","      “Life is painful. It has thorns, like the stem of a rose. Culture and art are the roses that bloom on the stem. The flower is yourself, your humanity. Art is the liberation of the humanity inside yourself.”  "
    C.S. Lewis  ,76,325,inspirational,"inspirational,star,world","      “In our world,"" said Eustace, ""a star is a huge ball of flaming gas."
    Mary Oliver  ,67,318,inspirational,inspirational,"      “It is better for the heart to break, than not to break.”  "
    Robin Hobb  ,972,315,inspirational,"inspirational,writing","      “The second thing you have to do to be a writer is to keep on writing. Don't listen to people who tell you that very few people get published and you won't be one of them. Don't listen to your friend who says you are better that Tolkien and don't have to try any more. Keep writing, keep faith in the idea that you have unique stories to tell, and tell them. I meet far too many people who are going to be writers 'someday.' When they are out of high school, when they've finished college, after the wedding, when the kids are older, after I retire . . . That is such a trap You will never have any more free time than you do right now. So, whether you are 12 or 70, you should sit down today and start being a writer if that is what you want to do. You might have to write on a notebook while your kids are playing on the swings or write in your car on your coffee break. That's okay. I think we've all 'been there, done that.' It all starts with the writing. ”  "
    C. JoyBell C.  ,413,313,inspirational,"greed,human-nature,humanism,humanity,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,mankind,raw,rawness","      “I find it odd- the greed of mankind. People only like you for as long as they perceive they can get what they want from you. Or for as long as they perceive you are who they want you to be. But I like people for all of their changing surprises, the thoughts in their heads, the warmth that changes to cold and the cold that changes to warmth... for being human. The rawness of being human delights me.”  "
    Virginia Woolf  ,50,312,inspirational,inspirational,      “Arrange whatever pieces come your way.”  
    Don Roff  ,101,308,inspirational,"humor,inspirational,writing",      “Nothing's a better cure for writer's block than to eat ice cream right out of the carton.”  
    Anonymous  ,157,308,inspirational,inspirational,"      “A gift is pure when it is given from the heart to the right person at the right time and at the right place, and when we expect nothing in return”  "
    C. S.  Lewis  ,232,308,inspirational,"inspirational,religious","      “Do not waste time bothering whether you ‘love’ your neighbor; act as if you did. As soon as we do this we find one of the great secrets. When you are behaving as if you loved someone, you will presently come to love him.”  "
    George Bernard Shaw  ,119,307,inspirational,"inspirational,universal-truths",      “The man who writes about himself and his own time is the only man who writes about all people and all time.”  
    Richard Dawkins  ,462,307,inspirational,"beauty,color,enlightened,inspirational,meaning,motivational,questions,sleep","      “After sleeping through a hundred million centuries we have finally opened our eyes on a sumptuous planet, sparkling with color, bountiful with life. Within decades we must close our eyes again. Isn’t it a noble, an enlightened way of spending our brief time in the sun, to work at understanding the universe and how we have come to wake up in it? This is how I answer when I am asked—as I am surprisingly often—why I bother to get up in the mornings.”  "
    Brian Andreas  ,122,304,inspirational,"inspirational,time",      “Everything changed the day she figured out there was exactly enough time for the important things in her life.”  
    Jack Kornfield  ,45,303,inspirational,"inspirational,mindfulness","      “In the end, just three things matter:"
    John Green  ,110,298,inspirational,inspirational,"      “I was born into Bolívar's labyrinth, and so I must believe in the hope of Rabelais' Great Perhaps.”  "
    Roy T. Bennett  ,151,245,inspirational,"brave,courage,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,procrastination,take-risks",      “Your Life Is Happening Right Now: Don't let procrastination take over your life. Be brave and take risks. Your life is happening right now.”  
    Jonathan Safran Foer  ,408,685,love,"love,regret","      “I wanted to tell her everything, maybe if I'd been able to, we could have lived differently, maybe I'd be there with you now instead of here. Maybe... if I'd said, 'I'm so afraid of losing something I love that I refuse to love anything,' maybe that would have made the impossible possible. Maybe, but I couldn't do it, I had buried too much too deeply inside me. And here I am, instead of there.”  "
    Nicholas Sparks  ,43,664,love,"compatibility,love",      “He was the toast to her butter.”  
    Steve Maraboli  ,132,567,love,"abundance,action,choice,happiness,hope,inspirational,love,motivational,nature,success","      “Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.”  "
    Renee Ahdieh  ,15,564,love,"khalid,love,shahrzad","      “Shazi, "
    Mandy Hale  ,121,539,love,"being-single,dating,finding-love,living-life-to-the-fullest,living-your-best-life,love,not-settling,positive-thinking,praying-for-love,relationships,single,single-life,single-woman,singleness,the-single-woman","      “Hope for love, pray for love, wish for love, dream for love…but don’t put your life on hold waiting for love.”  "
    Anne Lamott  ,134,520,love,"children,love,parenting","      “I don't remember who said this, but there really are places in the heart you don't even know exist until you love a child.”  "
    Charles Bukowski  ,293,514,love,love,"      “I was glad I wasn't in love, that I wasn't happy with the world. I like being at odds with everything. People in love often become edgy, dangerous. They lose their sense of perspective. They lose their sense of humor. They become nervous, psychotic bores. They even become killers.”  "
    Cornel West  ,72,504,love,"justice,love,society,wisdom",      “Never forget that justice is what love looks like in public.”  
    Warren Wiersbe  ,81,499,love,"diplomacy,hypocrisy,love,tact,truth,truth-telling","      “Truth without love is brutality, and love without truth is hypocrisy.”  "
    Nina LaCour  ,294,498,love,"forever,friendship,love,okay,suicide,suicide-note","      “There used to be days that I thought I was okay, or at least that I was going to be. We'd be hanging out somewhere and everything would just fit right and I would think 'it will be okay if it can just be like this forever' but of course nothing can ever stay just how it is forever.”  "
    Sarah J. Maas  ,170,487,love,"love,marriage","      “I'm not married,” he said softly, “because I can't stomach the idea of marrying a woman inferior to me in mind and spirit. It would mean the death of my soul.”  "
    Maya Angelou  ,62,483,love,"love,perfect-fit","      “In all the world, there is no heart for me like yours."
    Andrea Gibson  ,134,478,love,"love,poetry,relationships,romance","      “That night when you kissed me, I left a poem in your mouth, and you can hear some of the lines every time you breathe out.”  "
    Aberjhani  ,87,477,love,"intimacy,life-lessons,love,peace,peacekeeping,philosophy,poetry,relationships,spirituality,trust,war","      “The words ‘I Love You’ kill, and resurrect millions, in less than a second.”  "
    Rita Mae Brown  ,67,472,love,"gay,lesbian,lgbt,love,queer",      “The only queer people are those who don't love anybody.”  
    Amit Ray  ,84,472,love,"beauty,beauty-in-nature,inspirational,love,meditation,mind,mindfulness,nature,nature-s-beauty,pure-awareness,purifying,relaxation","      “Looking at beauty in the world, is the first step of purifying the mind.”  "
    Arthur Golden  ,96,469,love,"geisha,love,memoirs,woman","      “If you aren't the woman I think you are, then this isn't the world I thought it was.”  "
    Gillian Flynn  ,86,466,love,"happiness,love,relationship",      “I don't understand the point of being together if you're not the happiest.”  
    Cormac McCarthy  ,52,466,love,"faithfulness,fidelity,love",      “You have my whole heart. You always did.”  
    David Levithan  ,8,466,love,"love,separation",      “
    Paulo Coelho  ,231,462,love,"forgiveness,love,rain","      “Love like rain, can nourish from above, drenching couples with a soaking joy. But sometimes under the angry heat of life, love dries on the surface and must nourish from below, tending to its roots keeping itself alive.”  "
    Elizabeth Gilbert  ,466,462,love,"eat,from,love,pray","      “But is it such a bad thing to live like this for just a little while? Just for a few months of one's life, is it so awful to travel through time with no greater ambition than to find the next lovely meal? Or to learn how to speak a language for no higher purpose than that it pleases your ear to hear it? Or to nap in a garden, in a patch of sunlight, in the middle of the day, right next to your favourite fountain? And then to do it again the next day?”  "
    Haruki Murakami  ,678,460,love,"love,memory","      “Memory is a funny thing. When I was in the scene, I hardly paid it any mind. I never stopped to think of it as something that would make a lasting impression, certainly never imagined that eighteen years later I would recall it in such detail. I didn't give a damn about the scenery that day. I was thinking about myself. I was thinking about the beautiful girl walking next to me. I was thinking about the two of us together, and then about myself again. It was the age, that time of life when every sight, every feeling, every thought came back, like a boomerang, to me. And worse, I was in love. Love with complications. The scenery was the last thing on my mind.”  "
    E.L. James  ,73,458,love,"love,madly-in-love,true-love",      “I think you can only be truly mad at someone you really love.”  
    Brian Andreas  ,105,458,love,"life,longing,love,relationships,story-people",      “Wanting him to come back before anyone notices part of the world has not moved since he left.”  
    Rick Riordan  ,236,457,love,"beauty,inspirational,love","      “But beauty is about finding the right fit, the most natural fit, To be perfect, you have to feel perfect about yourself --- avoid trying to be something you're not. For a goddess, that's especially hard. We can change so easily."
    Paulo Coelho  ,27,454,love,love,      “Love simply is.”  
    Rick Riordan  ,118,452,love,"calypso,funny,humor,leo-valdez,love","      “Huh,"" Leo said. ""Well, if you ever get off this island and want a job, let me know. You're not a total klutz."
    John Green  ,122,452,love,"an,augustus,augustus-waters,can-t,have,i,love,true,why","      “I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things.”  "
    John  Williams  ,274,450,love,"growth,love","      “In his forty-third year William Stoner learned what others, much younger, had learned before him: that the person one loves at first is not the person one loves at last, and that love is not an end but a process through which one person attempts to know another.”  "
    Lemony Snicket  ,238,476,humor,"humor,piracy,traditional","      “Just because something is traditional is no reason to do it, of course. Piracy, for example, is a tradition that has been carried on for hundreds of years, but that doesn't mean we should all attack ships and steal their gold.”  "
    J.K. Rowling  ,59,412,humor,"fred-and-george,fred-weasley,humor",      “Ask us no questions and we’ll tell you no lies.”  
    Marissa Meyer  ,98,370,humor,"carswell,cress,humor,love,moment,thorne","      “Knees suddenly weak, she reached for his forearms to stabilize herself. “You came for me.”"
    Groucho Marx  ,62,349,humor,"gibe,humor,insult","      “Next time I see you, remind me not to talk to you.”  "
    Jim Butcher  ,28,345,humor,"anger,harry-dresden,humor,subtlety,tolkien",      “The man once wrote: 
    Bill Watterson  ,150,332,humor,humor,"      “From now on, I'm not doing anything I don't want to do! The world owes me happiness, fulfillment and success.... I'm just here to cash in.”  "
    Charlaine Harris  ,85,331,humor,"eric-northman,humor,romance,sookie-stackhouse,true-blood","      “Hey, our hair's the same color,"" I said, eying us side by side in the mirror."
    Oscar Wilde  ,78,328,humor,"business,humor",      “My own business always bores me to death; I prefer other people's.”  
    Diana Gabaldon  ,407,324,humor,"humor,love","      “When I asked my da how ye knew which was the right woman, he told me when the time came, I'd have no doubt. And I didn't. When I woke in the dark under that tree on the road to Leoch, with you sitting on my chest, cursing me for bleeding to death, I said to myself 'Jamie Fraser, for all ye canna see what she looks like, and for all she weights as much as a good draft horse, this is the woman.”  "
    Franklin D. Roosevelt  ,91,324,humor,"funny,humor,politics,usa","      “I'm not the smartest fellow in the world, but I can sure pick smart colleagues.”  "
    George Carlin  ,55,306,humor,humor,      “It's never just a game when you're winning.”  
    Oscar Wilde  ,174,295,humor,"a-woman-of-no-importance,humor,oscar-wilde,truth","      “It is perfectly monstrous,' he said, at last, 'the way people go about nowadays saying things against one behind one's back that are absolutely and entirely true.”  "
    Marissa Meyer  ,108,286,humor,"animals,fights,humor,pack","      “She sighed, annoyed at her restlessness. “So,” she said, disrupting Wolf in another backward glance."
    Mark Twain  ,267,285,humor,"aging,humor","      “When I was younger, I could remember anything, whether it had happened or not; but my faculties are decaying now and soon I shall be so I cannot remember any but the things that never happened. It is sad to go to pieces like this but we all have to do it.”  "
    Jennifer L. Armentrout  ,241,284,humor,"daemon,humor","      “A few seconds after he stepped out into the hallway and closed the door behind him, there was a fleshly smack and then Andrew yelling, “Ouch. What in the hell was that for?” “Your timing sucks on an epic level,” Daemon shot back.”  "
    Kristin Cashore  ,223,279,humor,"bitterblue,heroic,humor,po","      “Find something useful to do with your morning,' she thought to him as she neared her chambers. 'Do something heroic in front of an audience. Knock a child into a river while no one's looking and then rescue him.”  "
    Francis Bacon  ,126,278,humor,"humor,imagination",      “Imagination was given to man to compensate him for what he is not; a sense of humor to console him for what he is.”  
    A. Whitney Brown  ,96,275,humor,humor,"      “I'm not a vegetarian because I love animals, I'm a vegetarian because I hate plants.”  "
    Michael Thomas Ford  ,1133,272,humor,"anorexia,arsonist,arsonists,bulimia,crazy,depressed,depressives,drug,druggie,drugs,funny,humor,junkie,junkies,manic-depression,schizophrenia,schizophrenics,suicide","      “I didn't realize there was a ranking."" I said. ""Sadie frowned. ""What do you mean?"" ""A ranking,"" I said. ""You know, what's crazier than what."" ""Oh, sure there is,"" Sadie said. She sat back in her chair. ""First you have your generic depressives. They're a dime a dozen and usually pretty boring. Then you've got the bulimics and the anorexics. They're slightly more interesting, although usually they're just girls with nothing better to do. Then you start getting into the good stuff: the arsonists, the schizophrenics, the manic-depressives. You can never quite tell what those will do. And then you've got the junkies. They're completely tragic, because chances are they're just going to go right back on the stuff when they're out of here."" ""So junkies are at the top of the crazy chain,"" I said. Sadie shook her head. ""Uh-uh,"" she said. ""Suicides are."" I looked at her. ""Why?"" ""Anyone can be crazy,"" she answered. ""That's usually just because there's something screwed up in your wiring, you know? But suicide is a whole different thing. I mean, how much do you have to hate yourself to want to just wipe yourself out?”  "
    Shelly Laurenston  ,213,269,humor,"humor,mitch,sissy","      “Sissy Mae Smith...stumbled into the room loaded down with even more bags. ""You pack like a woman,"" she snarled when she finally dropped the luggage to the floor. ""How can one man have so much conditioner?"
    Daniel Handler  ,165,262,humor,"humor,ignorance,lemony-snicket,library","      “A library is like an island in the middle of a vast sea of ignorance, particularly if the library is very tall and the surrounding area has been flooded.”  "
    Dorothy Parker  ,76,261,humor,"drinking,humor,misattributed,spoonerism,wordplay",      “I'd rather have a bottle in front of me than a frontal lobotomy.”  
    Criss Jami  ,103,256,humor,"be-yourself,being-yourself,clever,comedic,differences,everyone,funny,funny-but-true,humor,ignorance,jokes,laughter,mockery,opinions,personality,personality-types,sense-of-humor,similarities,stupidity,traits,types,witty","      “Everyone has a sense of humor. If you don't laugh at jokes, you probably laugh at opinions.”  "
    Jeaniene Frost  ,116,255,humor,"bones,cat,humor","      “Bones has always been smart,"" I muttered. ""His intelligence was just camouflaged under a mountain of p**sy."
    Jennifer L. Armentrout  ,241,254,humor,"book-blogging,humor","      “Because this absolutely insane - the craziest thing I'd ever done. Worse than giving a one-star review, scarier than asking for an interview with an author I'd give my firstborn to eat lunch with, more stupid than kissing Daemon.”  "
    Ryan Mecum  ,29,251,humor,"blood,haiku,horror,humor,zombies","      “Blood is really warm,"
    Henry Ford   ,96,249,humor,"black,customer,humor,model-t",      “Any customer can have a car painted any colour that he wants so long as it is black.”  
    Colleen Houck  ,256,238,humor,"breaking-up,humor,sex-appeal","      “He looks like a runway model. How in the world am I going to be able to reject that? The world is so unfair. Seriously, it's like turning Brad Pitt down for a date. The girl who could actually do it should win an award for idiot of the century.”  "
    Rick Riordan  ,51,238,humor,"humor,romance",      “Unless you stop him. Perhaps next we meet.
    Dora J. Arod  ,93,52,humor,"absurd,desire,flavor,food,funny,humor,love,love-quotes,meatloaf,wish,word-junkies",      “My love is meatloaf flavored. I just wish my meatloaf was also meatloaf flavored.”  
    Sherrilyn Kenyon  ,49,484,humor,humor,"      “Dev-""Come in peace or leave in pieces”  "
    Sara Shepard  ,70,418,humor,"humor,liar,lying,truth",      “No one believes a liar. Even when she's telling the truth.”  
    Susan Ee  ,222,334,humor,humor,"      “In the long second before everyone absorbs what just happened, I see the angel rolling his eyes heavenward, like a teenager in the presence of overwhelming lameness. Some people just have no sense of gratitude.”  "
    Richard Pryor  ,107,329,humor,"atheism,humor,religion,vampires",      “The reason people use a crucifix against vampires is because vampires are allergic to bullshit.”  
    Mark Twain  ,88,316,humor,"humor,prayer,profanity,relief,you-ll-completely-understand-why","      “Under certain circumstances, profanity provides a relief denied even to prayer."
    Lisa Kleypas  ,119,312,humor,"humor,pissed-off,sugar-daddy",      “Most men don't seem to get that telling a pissed-off woman to calm down is like throwing gunpowder on a fire.” 
    Lisi Harrison  ,123,301,humor,"comebacks,humor","      “Claire, did I invite you to my barbeque?"" Massie asked, her neck tilting to the right and her arms tightly crossed."
    T.S. Eliot  ,55,290,humor,"humor,imitation,maturity,originality,plagiarism,writing",      “Immature poets imitate; mature poets steal.”  
    Gayle Forman  ,188,279,humor,humor,"      “It's my turn to see you through,' she whispers, coming back to me and wrapping me in her blanket as I lose my shit all over again. She holds me until I recover my Y chromosome.”  "
    Richelle Mead  ,173,271,humor,"humor,teen,young-adult","      “Ah, well,ʺ said Abe, idly studying his fingertips. ʺI have it on good authority thereʹs going to be a new ‘gateʹ opening up soon over on the south side of the wall."
    Douglas Adams  ,212,266,humor,"ford-prefect,h2g2,hitchhikers-guide-to-the-galaxy,humor,life","      “Life... is like a grapefruit. Well, it's sort of orangey-yellow and dimpled on the outside, wet and squidgy in the middle. It's got pips inside, too. Oh, and some people have half a one for breakfast.”  "
    Barney Stinson  ,68,265,humor,"humor,inspirational","      “When I get sad, I stop being sad and be awesome instead.”  "
    Jim Butcher  ,100,260,humor,"feminism,harry-dresden,humor",      “I think that men ought to treat women like something other than weaker men with breasts.”  
    Philip K. Dick  ,65,259,humor,"fucked-up,humor,postmodern",      “No single thing abides; and all things are fucked up.”  
    Bill Watterson  ,54,254,humor,"arguments,humor,loudness,reason","      “If you can't win by reason, go for volume.”  "
    Douglas Adams  ,127,254,humor,"answer,humor,life,meaning,question","      “Exactly!"" said Deep Thought. ""So once you do know what the question actually is, you'll know what the answer means.”  "
    Cora Carmack  ,110,253,humor,"humor,one-night-stand",      “It wasn’t until I’d walked halfway across the parking lot that I realized: 1. I wasn’t wearing shoes. 
    Chelsea Handler  ,152,251,humor,humor,"      “Obviously, if I was serious about having a relationship with someone long-term, the last people I would introduce him to would be my family.”  "
    Morrissey  ,34,251,humor,"humor,life,lyrics,music","      “Disappointment came to me,"
    Ally Carter  ,150,250,humor,humor,      “You don't need a search warrant to go through someone's trash. Seriously. Once it hits the curb it is totally fair game-you an look it up.”  
    Osho  ,104,250,humor,"humor,spiritual",      “They say: Think twice before you jump. I say: Jump first and then think as much as you want!”  
    Cassandra Clare  ,326,250,humor,"anime,blogging,humor","      “Rule number one of anime,"" Simon said. He sat propped up against a pile of pillows at the foot of his bed, a bag of potato chips in one hand and the TV remote in the other. He was wearing a black T-shirt that said I BLOGGED YOUR MOM and a pair of jeans that were ripped in one knee. ""Never screw with a blind monk.”  "
    Meg Cabot  ,182,249,humor,"cabot,emerson,humor,meg","      “Well,' I said. 'I could strip off my clothes and reveal to you that under my jeans and sweatshirt I'm actually wearing a tank top and short-shorts, much like Lara Croft from "
    Chelsea Handler  ,323,249,humor,"drinking,humor","      “Are you there vodka? It's me, Chelsea. Please get me out of jail and I promise I will never drink again. Drink and drive. I will never drink and drive again. I may even start my own group fashioned after MADD, Mothers Against Drunk Driving, but I'll call it AWLTDASH, Alcoholics Who Like to Drink and Stay Home.”  "
    Jim Morrison   ,100,248,humor,"birth,humor","      “Actually I don't remember being born, it must have happened during one of my black outs.”  "
    Veronica Roth  ,46,247,humor,"humor,math","      “Lynn, she saved half our faction from "
    Richelle Mead  ,192,246,humor,"adrian-ivashkov,humor","      “I just rely on natural talent,"" said Adrian, strolling up to the start of the Dragon's Lair. ""When you have such a wealth of it to draw from, the danger comes from having too much.”  "
    Sarah Rees Brennan  ,143,244,humor,humor,"      “What the hell is going on?"" demanded Kami's dad, advancing with his black eyes snapping. Jared blurted, ""My intentions are honourable."
    Rick Riordan  ,96,244,humor,"battle,humor","      “Right,"" Sadie said. ""And Set will just stand there calmly while I read him to death.”  "
    Dark Jar Tin Zoo  ,127,50,humor,"dinner,food,funny,honesty,humor,love,relationships,word-junkies","      “She asked if I loved another woman, so I answered honestly and said, “Dinner was great, but I could go for dessert.”  "
    Jess C Scott  ,100,392,humor,"body,boy,boyfriend,boys,cool,culture,desire,emotion,friendship,funny,honesty,humor,humour,imagination,individuality,life,love,music,novel,passion,poem,poems,poet,poetry,poetry-life,poets,reality,relationships,romance,self,sex,technology,truth,wisdom,young,youth",      “Maybe you could be mine / or maybe we’ll be entwined / aimless in this sexless foreplay.”  
    Ambrose Bierce  ,8,385,humor,"child,children,clothes,clothing,definition,humor,mothering,mothers,sweaters",      “
    Dorothy Parker  ,124,378,humor,"empty-nest,humor,motherhood,parenthood,parenting","      “The best way to keep children at home is to make the home atmosphere pleasant, and let the air out of the tires.”  "
    Lemony Snicket  ,204,309,humor,humor,"      “There is nothing particularly wrong with salmon, of course, but like caramel candy, strawberry yogurt, or liquid carpet cleaner, if you eat too much of it you are not going to enjoy your meal.”  "
    Maggie Stiefvater  ,28,300,humor,"connotations,humor,word-association","      “Sensitive,"" I tried."
    Clarence Darrow  ,545,286,humor,"classic-insult,death,determinism,free-will,humor,instinct,personality,science,temperament,tendencies,urges","      “Every instinct that is found in any man is in all men. The strength of the emotion may not be so overpowering, the barriers against possession not so insurmountable, the urge to accomplish the desire less keen. With some, inhibitions and urges may be neutralized by other tendencies. But with every being the primal emotions are there. All men have an emotion to kill; when they strongly dislike some one they involuntarily wish he was dead. I have never killed any one, but I have read some obituary notices with great satisfaction.”  "
    H.L. Mencken  ,352,277,humor,"belief,democracy,government,humor,ignorance,intelligence,pathetic,political-commentary,politics,public-office","      “Democracy is a pathetic belief in the collective wisdom of individual ignorance. No one in this world, so far as I know—and I have researched the records for years, and employed agents to help me—has ever lost money by underestimating the intelligence of the great masses of the plain people. Nor has anyone ever lost public office thereby.”  "
    Bill Watterson  ,41,273,humor,"bad-sport,calvin,hobbes,humor",      “Hobbes: Jump! Jump! Jump! I win! 
    Charlaine Harris  ,180,271,humor,"cleaning,humor,vampires","      “Eric moved the broom experimentally and made an attempt to sweep the glass into the pan while it lay in the middle of the floor. Of course, the pan slid away. Eric scowled."
    Jeaniene Frost  ,93,268,humor,"bones-and-cat,hilarious,humor",      “You! You tricked me! I never want to see you or that bottle of liquid arsenic again!”
    Brandon Sanderson  ,84,263,humor,"humor,personality",      “Marsh: Our best efforts were never even a mild annoyance to the Lord Ruler.
    Jim Butcher  ,131,261,humor,"harry-dresden,humor,michael-carpenter","      “I still can't believe,"" Michael said, sotto voce, ""that you came to the Vampires' Masquerade Ball dressed as a vampire.”  "
    Scott Dikkers  ,107,257,humor,"atheism,cynicism,friendship,humor","      “A true friend is a gift from God. Since God doesn't exist, guess what? Neither do true friends.”  "
    Steven Wright  ,73,256,humor,"absurd,humor","      “When everything is coming your way, you're in the wrong lane.”  "
    Stephenie Meyer  ,193,252,humor,"bella,edward,humor,rules","      “I am not really breaking any rules. Charlie said I could never take another step through the door again... I came in through the window... Still, the intent was clear,"" said Edward.”  "
    Graham Parke  ,104,252,humor,"humor,philosophy,weird","      “I'm very polite by nature, even the voices in my head let each other finish their sentences.”  "
    Will Rogers  ,76,248,humor,"funny,humor,mean",      “Everything is funny as long as it is happening to somebody else.”  
    Iris Murdoch  ,111,246,humor,"humor,writing",      “Writing is like getting married. One should never commit oneself until one is amazed at one's luck.”  
